Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Allen Iverson,60,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,0.7,3.8,4.5,5.5,2.8,0.2,4.0,21.9
Shaquille O'Neal,67,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,3.5,7.2,10.7,3.0,0.6,2.0,2.6,28.5
Paul Pierce,82,40.2,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,1.0,5.9,6.9,3.2,1.9,1.0,2.9,23.9
Tracy McGrady,76,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,2.0,5.9,7.9,5.3,1.6,1.0,2.5,25.5
Tim Duncan,82,40.6,25.5,9.3,18.3,50.8,0.0,0.1,10.0,6.8,8.5,79.9,3.3,9.4,12.7,3.7,0.7,2.5,3.2,31.2
Kobe Bryant,80,38.3,25.2,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,1.4,4.1,5.5,5.5,1.5,0.4,2.8,23.5
Vince Carter,60,39.8,24.7,9.3,21.8,42.8,2.0,5.2,38.7,4.1,5.1,79.8,2.3,2.9,5.2,4.0,1.6,0.7,2.6,20.2
Dirk Nowitzki,76,38.0,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,1.6,8.4,9.9,2.4,1.1,1.0,1.9,26.3
Karl Malone,80,38.0,22.4,7.9,17.5,45.4,0.1,0.3,36.0,6.4,8.0,79.7,1.8,6.8,8.6,4.3,1.9,0.7,3.3,23.4
Antoine Walker,81,42.0,22.1,8.2,20.9,39.4,2.7,8.0,34.4,3.0,4.0,74.1,1.9,7.0,8.8,5.0,1.5,0.5,3.1,21.2
Gary Payton,82,40.2,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,1.6,0.3,2.5,24.2
Ray Allen,69,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,1.2,3.3,4.5,3.9,1.3,0.3,2.3,20.1
Cuttino Mobley,74,42.1,21.7,8.0,18.4,43.8,2.0,5.1,39.5,3.6,4.2,85.0,0.9,3.2,4.1,2.5,1.5,0.5,2.4,16.9
Jerry Stackhouse,76,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,1.0,3.1,4.1,5.3,1.0,0.5,3.5,17.3
Shareef Abdur-Rahim,77,38.7,21.2,7.8,16.8,46.1,0.3,0.9,30.0,5.4,6.8,80.1,2.6,6.5,9.0,3.1,1.3,1.1,3.2,22.0
Peja Stojakovic,71,37.3,21.2,7.7,15.9,48.4,1.8,4.4,41.6,4.0,4.5,87.6,1.0,4.2,5.3,2.5,1.1,0.2,2.0,19.5
Kevin Garnett,81,39.2,21.2,8.1,17.3,47.0,0.5,1.4,31.9,4.4,5.5,80.1,3.0,9.1,12.1,5.2,1.2,1.6,2.8,28.1
Michael Finley,69,39.9,20.6,8.2,17.8,46.3,1.1,3.2,33.9,3.0,3.6,83.7,1.3,3.9,5.2,3.3,0.9,0.4,1.7,18.7
Jalen Rose,83,38.0,20.4,8.0,17.6,45.5,1.1,3.0,36.2,3.4,4.0,83.9,0.5,4.0,4.5,4.3,0.9,0.5,2.4,18.0
Stephon Marbury,82,38.9,20.4,7.6,17.2,44.2,0.9,3.0,28.6,4.3,5.5,78.1,0.9,2.3,3.2,8.1,0.9,0.2,3.5,18.6
Allan Houston,77,37.9,20.4,7.4,16.9,43.7,1.8,4.5,39.3,3.8,4.4,87.0,0.5,2.8,3.3,2.5,0.7,0.1,2.2,14.6
Antawn Jamison,82,37.0,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,2.6,4.2,6.8,2.0,0.9,0.5,2.0,17.2
Sam Cassell,74,35.2,19.7,7.5,16.2,46.3,1.0,2.8,34.8,3.8,4.4,86.0,0.7,3.5,4.2,6.7,1.2,0.2,2.4,20.3
Latrell Sprewell,81,41.1,19.4,7.1,17.5,40.4,1.8,5.0,36.0,3.5,4.3,82.1,0.7,3.0,3.7,3.9,1.2,0.2,2.8,14.4
Jason Terry,78,38.1,19.3,6.7,15.6,43.0,2.2,5.7,38.7,3.6,4.4,83.5,0.5,2.9,3.5,5.7,1.8,0.2,2.3,18.5
Rasheed Wallace,79,37.5,19.3,7.6,16.3,46.9,1.4,4.0,36.0,2.5,3.5,73.4,1.7,6.4,8.2,1.9,1.3,1.3,1.7,20.7
Shawn Marion,81,38.4,19.1,8.1,17.2,46.9,0.6,1.5,39.3,2.4,2.8,84.5,2.6,7.3,9.9,2.0,1.8,1.1,1.8,22.6
Jermaine O'Neal,72,37.6,19.0,7.5,15.7,47.9,0.0,0.2,7.1,3.9,5.7,68.8,2.6,7.9,10.5,1.6,0.6,2.3,2.4,21.7
